mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;basis-jaarlijks;beginjaar;bestrijdingsmiddelen;bodemtype (detail);bodemtype (grof);ecokleurenkoers;fysisch-chemisch;gemeente;krw-biologie;landgebruik 2015;meetpuntsoort;naam water;plaatsnaam;publicatie op internet 1;quickscan-vegetatie;type watergang;vistrajecten;vlakdekkende vegetatieopnamen;waterbreedte in m (in het veld geschat);waterbreedte in m (legger);waterdiepte in m (legger);waterlichaamcode;waterlichaamnaam;watertype waterlichaam;zwemwater;long;lat
SW-BA3;Parallelweg 2;113702;438340;KRIWA;Krimpenerwaard;3;Oude code was BA3;-;;;;;;;;;Krimpenerwaard;;;;;Bergambacht;;;;;;;;;;;;;4,78672819435139;51,9319932231788
SW-BA4A;Meidoornstraat 1;114004;438591;KRIWA;Krimpenerwaard;3;Oude code was BA4A;-;;;;;;;;;Krimpenerwaard;;;;;Bergambacht;;;;;;;;;;;;;4,79108912758915;51,934271513344
SW-BA4B;Meidoornstraat 2;113999;438497;KRIWA;Krimpenerwaard;3;Oude code was BA4B;-;;;;;;;;;Krimpenerwaard;;;;;Bergambacht;;;;;;;;;;;;;4,79102763829041;51,9334262879372
SW-BA5;Reigerssingel;113935;438849;KRIWA;Krimpenerwaard;3;Oude code was BA5;-;;;;;;;;;Krimpenerwaard;;;;;Bergambacht;;;;;;;;;;;;;4,79005504553079;51,9365852842069
SW-BA6;Weegbree;114113;438934;KRIWA;Krimpenerwaard;3;Oude code was BA6;-;;;;;;;;;Krimpenerwaard;;;;;Bergambacht;;;;;;;;;;;;;4,79263319246234;51,9373623660701
SW-BA7;Tussenlanen;114022;439108;KRIWA;Krimpenerwaard;3;Oude code was BA7;-;;;;;;;;;Krimpenerwaard;;;;;Bergambacht;;;;;;;;;;;;;4,79128921443906;51,9389195508229
SW-BA8;Houtstraat;113829;438917;KRIWA;Krimpenerwaard;3;Oude code was BA8;-;;;;;;;;;Krimpenerwaard;;;;;Bergambacht;;;;;;;;;;;;;4,78850557944676;51,9371886191641
SW-BERKOUD1;Dorpsstraat;108229;439984;KRIWA;Krimpenerwaard;3;Oude code was BERKOUD1;-;;;;;;;;;Krimpenerwaard;;;;;Berkenwoude;;;;;;;;;;;;;4,70693187721147;51,9463357030486
SW-BERKOUD2;Zwembad;108361;439972;KRIWA;Krimpenerwaard;3;Oude code was BERKOUD2;-;;;;;;;;;Krimpenerwaard;;;;;Berkenwoude;;;;;;;;;;;;;4,70885327994859;51,9462389401871
SW-BERKOUD3;Prins Bernhardstraat;108069;439935;KRIWA;Krimpenerwaard;3;Oude code was BERKOUD3;-;;;;;;;;;Krimpenerwaard;;;;;Berkenwoude;;;;;;;;;;;;;4,70461157384323;51,9458818217406
SW-BERKVIL1;Oosteinde;108989;440116;KRIWA;Krimpenerwaard;3;Oude code was BERKVIL1;-;;;;;;;;;Krimpenerwaard;;;;;Berkenwoude;;;;;;;;;;;;;4,71796745561431;51,9475855020217
SW-BERKVIL2;Weidebloemweg;108971;439706;KRIWA;Krimpenerwaard;3;Oude code was BERKVIL2;-;;;;;;;;;Krimpenerwaard;;;;;Berkenwoude;;;;;;;;;;;;;4,71776059030902;51,9438990464766
SW-BK1;Halve Raak, Boskoop (DT1 2012);106164;456206;OVERIG;Buiten beheergebied;3;Oude code was BK1;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;6;;;;;;;4,67458458147032;52,0919543312188
SW-BK10;Calville bij Appelgaarde, Boskoop (DT1 2012);104960;453851;OVERIG;Buiten beheergebied;3;Oude code was BK10;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;6;;;;;;;4,65736247737464;52,0706813758239
SW-BK11;Zinkeling, Boskoop (DT1 2012);104624;454392;OVERIG;Buiten beheergebied;3;Oude code was BK11;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;6;;;;;;;4,65238240418423;52,0755131303412
SW-BK12;Woonwijk ten westen van Zinkeling, Boskoop (DT1 20;104633;454636;OVERIG;Buiten beheergebied;3;Oude code was BK12;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;8;;;;;;;4,65247766148659;52,077706885139
SW-BK13;Parklaan, Boskoop (DT1 2012);104349;454668;OVERIG;Buiten beheergebied;3;Oude code was BK13;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;10;;;;;;;4,64833040721295;52,0779685815588
SW-BK14;Wilhelminalaan, Boskoop (DT1 2012);104262;454863;OVERIG;Buiten beheergebied;3;Oude code was BK14;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;10;;;;;;;4,6470323973926;52,0797131668932
SW-BK15;Ten noorden van Lage Weide, Boskoop (DT1 2012);103872;453577;OVERIG;Buiten beheergebied;3;Oude code was BK15;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;6;;;;;;;4,64153614610859;52,0681194630383
SW-BK16;Fazantendreef, Boskoop (DT1 2012);103763;453237;OVERIG;Buiten beheergebied;3;Oude code was BK16;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;4;;;;;;;4,63999760702522;52,0650536634941
SW-BK17;Vogellaan, Boskoop (DT1 2012);103915;453316;OVERIG;Buiten beheergebied;3;Oude code was BK17;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;10;;;;;;;4,64220227290438;52,0657777080849
SW-BK18;Veldlaan, Boskoop (DT1 2012);103976;454133;OVERIG;Buiten beheergebied;3;Oude code was BK18;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;10;;;;;;;4,64296968559959;52,0731260666957
SW-BK19;Laag Boskoop, Boskoop (DT1 2012);104547;455128;OVERIG;Buiten beheergebied;3;Oude code was BK19;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;10;;;;;;;4,65115048803836;52,0821208760255
SW-BK2;Babsloot/Torenpad, Boskoop (DT1 2012);104883;454375;OVERIG;Buiten beheergebied;3;Oude code was BK2;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;10;;;;;;;4,6561625674067;52,0753838408481
SW-BK20;Spoorhaven, Boskoop (DT1 2012);104410;455480;OVERIG;Buiten beheergebied;3;Oude code was BK20;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;3;;;;;;;4,64909976773378;52,0852719512625
SW-BK21;Sprengerstraat, Boskoop (DT1 2012);104587;453336;OVERIG;Buiten beheergebied;3;Oude code was BK21;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;13;;;;;;;4,65199869238215;52,0660190153806
SW-BK22;Overslag, Boskoop (DT1 2012);105493;454165;OVERIG;Buiten beheergebied;3;Oude code was BK22;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;20;;;;;;;4,66509022441211;52,0735513347817
SW-BK23;Populierenhof bij Rabobank, Boskoop (DT1 2012);105482;454314;OVERIG;Buiten beheergebied;3;Oude code was BK23;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;12;;;;;;;4,66490817168552;52,074889484085
SW-BK24;Ereprijs nabij Haagwinde, Boskoop (DT1 2012);103668;453973;OVERIG;Buiten beheergebied;3;Oude code was BK24;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;5;;;;;;;4,63850164091826;52,0716596197165
SW-BK3;Torenpad, Boskoop (DT1 2012);104991;454437;OVERIG;Buiten beheergebied;3;Oude code was BK3;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;;;;;;;;4,65772872132259;52,0759508251923
SW-BK4;Enterij nabij Torenpad, Boskoop (DT1 2012);105035;454457;OVERIG;Buiten beheergebied;3;Oude code was BK4;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;4;;;;;;;4,65836756545078;52,0761345455017
SW-BK5;Maatschouw, Boskoop (DT1 2012);104880;454629;OVERIG;Buiten beheergebied;3;Oude code was BK5;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;8;;;;;;;4,65608150598587;52,077666381596
SW-BK6;Boomgaard, tussen Zijde en Voorofscheweg, Boskoop;104749;454270;OVERIG;Buiten beheergebied;3;Oude code was BK6;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;6;;;;;;;4,65422356529953;52,0744280170437
SW-BK7;Voorofscheweg, Boskoop (DT1 2012);104574;454284;OVERIG;Buiten beheergebied;3;Oude code was BK7;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;6;;;;;;;4,65166908292415;52,0745379362411
SW-BK8;Boomgaard, Boskoop (DT1 2012);104716;454177;OVERIG;Buiten beheergebied;3;Oude code was BK8;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;7;;;;;;;4,6537559545751;52,0735891892393
SW-BK9;Appelgaarde, Boskoop (DT1 2012);104979;454033;OVERIG;Buiten beheergebied;3;Oude code was BK9;-;;;;;;;;;Anders;;;;;Boskoop;;;;;;13;;;;;;;4,65761290317873;52,0723188094992
SW-BW1;Korenmolenstraat;96649;447987;SCHIEL;Schieland;3;Oude code was BW1;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,53715820591021;52,0171667885151
SW-BW10;Larixdreef;97179;447054;SCHIEL;Schieland;3;Oude code was BW10;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,5450359025801;52,0088370897543
SW-BW11;Sterrenlaan;97124;447328;SCHIEL;Schieland;3;Oude code was BW11;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,54418859429327;52,0112938888037
SW-BW12;Hoekeindseweg;96037;446854;SCHIEL;Schieland;3;Oude code was BW12;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,52843879338664;52,0069194545346
SW-BW13;Van der Waalstraat;96637;447940;SCHIEL;Schieland;3;Oude code was BW13;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,53699142463117;52,016743122036
SW-BW2;Hazeweg 1;96575;447132;SCHIEL;Schieland;3;Oude code was BW2;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,53622621296658;52,0094748361907
SW-BW3;Hazeweg 2;96438;447144;SCHIEL;Schieland;3;Oude code was BW3;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,53422892777828;52,009568242412
SW-BW4;Hoefweg;96311;447791;SCHIEL;Schieland;3;Oude code was BW4;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,53226842164956;52,0153696207816
SW-BW5;Grote beer;97505;447583;SCHIEL;Schieland;3;Oude code was BW5;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,54969480073254;52,0136252737611
SW-BW6;Kooipad;97104;446963;SCHIEL;Schieland;3;Oude code was BW6;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,54395902016385;52,0080114210609
SW-BW7;Sterrenlaan;97235;447293;SCHIEL;Schieland;3;Oude code was BW7;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,54581114403452;52,0109908985608
SW-BW8;Wilhelminastraat;96188;447146;SCHIEL;Schieland;3;Oude code was BW8;M10;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;NL39_02a;Vaart Bleiswijk;M10;;4,53058764332923;52,0095597763048
SW-BW9;G<f7>tzenhainsingel;96826;446508;SCHIEL;Schieland;3;Oude code was BW9;-;;;;;;;;;Lansingerland;;;;;Bleiswijk;;;;;;;;;;;;;4,53998771126465;52,0038931057211
SW-CENTRUM1A;Euromastpark restaurant;91943;435710;SCHIEL;Schieland;3;Oude code was CENTRUM 1A;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;12;;;;;;;4,47086556056443;51,9063152220087
SW-CENTRUM1B;Euromastpark Parkhaven;91728;435655;SCHIEL;Schieland;3;Oude code was CENTRUM 1B;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;10;;;;;;;4,46775169783016;51,9057965177923
SW-CENTRUM1C;Euromastpark Heuvellaan;91808;435471;SCHIEL;Schieland;3;Oude code was CENTRUM 1C;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;15;;;;;;;4,46894786704662;51,9041519378175
SW-CENTRUM2;Parklaan;92184;435878;SCHIEL;Schieland;3;Oude code was CENTRUM 2;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;8;;;;;;;4,47433666219361;51,9078523484635
SW-CENTRUM3;Westersingel;92298;436490;SCHIEL;Schieland;3;Oude code was CENTRUM 3;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,47588165562096;51,9133654558982
SW-CENTRUM4;Dijkzigt vijver;91975;436160;SCHIEL;Schieland;3;Oude code was CENTRUM 4;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;15;;;;;;;4,47124812783473;51,9103631463695
SW-CENTRUM5B;Jan Evertseplaats;92310;437224;SCHIEL;Schieland;3;Oude code was CENTRUM 5B;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;8;;;;;;;4,47592230436517;51,9199635097316
SW-CENTRUM5C;Hogeschool vijver;91696;436373;SCHIEL;Schieland;3;Oude code was CENTRUM 5C;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;15;;;;;;;4,46715468553831;51,9122457771897
SW-CENTRUM6;Museumpark Griekse Kerk;92212;436328;SCHIEL;Schieland;3;Oude code was CENTRUM 6;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;5;;;;;;;4,47466142666021;51,9118998101381
SW-CENTRUM7A;Haagse veer politiebureau;92693;437596;SCHIEL;Schieland;3;Oude code was CENTRUM 7A;M03;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;30;;;NL39_01a;Rotteboezem;M3;;4,48142165483649;51,9233498258568
SW-CENTRUM7B;Haagse veer Lombartkade;92901;437647;SCHIEL;Schieland;3;Oude code was CENTRUM 7B;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;15;;;;;;;4,48443586417743;51,9238314390176
SW-DELFSH-1;Heemraadssingel, Volmarijnstr;90915;436461;SCHIEL;Schieland;3;Oude code was DELFSH-1;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;20;;;;;;;4,4557888203141;51,9129472614598
SW-DELFSH-2;Heemraadssingel;90913;437238;SCHIEL;Schieland;3;Oude code was DELFSH-2;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;20;;;;;;;4,45561502724097;51,9199301560639
SW-DELFSH-3;Essenburgsingel;91104;437562;SCHIEL;Schieland;3;Oude code was DELFSH-3;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;15;;;;;;;4,4583309253019;51,9228640079462
SW-DELFSH-4;Essenburgsingel Vreeluststraa;90327;437435;SCHIEL;Schieland;3;Oude code was DELFSH-4;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;15;;;;;;;4,44706080949951;51,9216328337842
SW-GL01;Vanaf lantaarnpaal 33 aan de Tjaikovski straat (2-;97915;436840;SCHIEL;Schieland;3;Oude code was GL01;-;;;;;;;;;Capelle aan den Ijssel;;;;;Capelle aan den IJssel;;;;;;;;;;;;;4,55745339632352;51,9171156838028
SW-GL02;Vanaf kruising A. Brinkmanrede-B. de Blokrede rich;97995;436380;SCHIEL;Schieland;3;Oude code was GL02;-;;;;;;;;;Capelle aan den Ijssel;;;;;Capelle aan den IJssel;;;;;;;;;;;;;4,55869231368753;51,9129896390034
SW-GL03;Vanaf de bocht in de watergang aan de C. de Houtma;98411;436485;SCHIEL;Schieland;3;Oude code was GL03;-;;;;;;;;;Capelle aan den Ijssel;;;;;Capelle aan den IJssel;;;;;;;;;;;;;4,56472059124617;51,9139757887136
SW-GL04;In de noordoost hoek van de vijver. Eerst 33 meter;98685;436660;SCHIEL;Schieland;3;Oude code was GL04;-;;;;;;;;;Capelle aan den Ijssel;;;;;Capelle aan den IJssel;;;;;;;;;;;;;4,56867396253293;51,9155764016921
SW-GL05;In de hoek van de Donizettistraat Pergolsistraat a;98931;437080;SCHIEL;Schieland;3;Oude code was GL05;-;;;;;;;;;Capelle aan den Ijssel;;;;;Capelle aan den IJssel;;;;;;;;;;;;;4,57218073693494;51,9193760019995
SW-GL06;Bij het bruggetje aan de Bachstraat naar de westzi;98242;437212;SCHIEL;Schieland;3;Oude code was GL06;-;;;;;;;;;Capelle aan den Ijssel;;;;;Capelle aan den IJssel;;;;;;;;;;;;;4,56214460370623;51,9204924865247
SW-GL07;In de meest noordelijke bocht van de watergang aan;98654;437610;SCHIEL;Schieland;3;Oude code was GL07;-;;;;;;;;;Capelle aan den Ijssel;;;;;Capelle aan den IJssel;;;;;;;;;;;;;4,56806782386536;51,924111393262
SW-GOUD1;Grutto/Groene wetering;106405;444065;KRIWA;Krimpenerwaard;3;Oude code was GOUD1;-;;;;;;;;;Krimpenerwaard;;;;;Gouderak;;;;;;;;;;;;;4,67982641380863;51,9828578116728
SW-GOUD2;Achterzijde J. Huurmanlaan;106200;444005;KRIWA;Krimpenerwaard;3;Oude code was GOUD2;-;;;;;;;;;Krimpenerwaard;;;;;Gouderak;;;;;;;;;;;;;4,67685107451807;51,9823005786285
SW-GOUD3;J.G. Staringstraat;105495;444125;KRIWA;Krimpenerwaard;3;Oude code was GOUD3;-;;;;;;;;;Zuidplas;;;;;Moordrecht;;;;;;;;;;;;;4,66657226571385;51,9833166920476
SW-GOUD4;Weegbree;106625;444200;KRIWA;Krimpenerwaard;3;Oude code was GOUD4;-;;;;;;;;;Krimpenerwaard;;;;;Gouderak;;;;;;;;;;;;;4,68300958182501;51,9840903478477
SW-GOUD5;Essendreef/achter COOP;106150;444350;KRIWA;Krimpenerwaard;3;Oude code was GOUD5;-;;;;;;;;;Krimpenerwaard;;;;;Gouderak;;;;;;;;;;;;;4,67607415774849;51,9853969075525
SW-GOUD6;Iependaal;106375;444185;KRIWA;Krimpenerwaard;3;Oude code was GOUD6;-;;;;;;;;;Krimpenerwaard;;;;;Gouderak;;;;;;;;;;;;;4,67937273178507;51,983933699382
SW-HAAS1;Bernhardlaan;113276;445653;KRIWA;Krimpenerwaard;3;Oude code was HAAS1;-;;;;;;;;;Krimpenerwaard;;;;;Haastrecht;;;;;;;;;;;;;4,77964549374061;51,9976890976122
SW-HAAS2;Raaigras;113113;445293;KRIWA;Krimpenerwaard;3;Oude code was HAAS2;-;;;;;;;;;Krimpenerwaard;;;;;Haastrecht;;;;;;;;;;;;;4,77731612665352;51,9944412356058
SW-HAAS3;t.o Zwembad;113380;445353;KRIWA;Krimpenerwaard;3;Oude code was HAAS3;-;;;;;;;;;Krimpenerwaard;;;;;Haastrecht;;;;;;;;;;;;;4,78119622853022;51,9950005810678
SW-HAAS4;Bredeweg;113276;445491;KRIWA;Krimpenerwaard;3;Oude code was HAAS4;-;;;;;;;;;Krimpenerwaard;;;;;Haastrecht;;;;;;;;;;;;;4,77966521911958;51,9962330832976
SW-HS1;Schiebroekse Park;92172;442513;SCHIEL;Schieland;3;Oude code was HS1;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,47294938104999;51,9674817371397
SW-HS10;Apollostraat;93461;442058;SCHIEL;Schieland;3;Oude code was HS10;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,49178588154866;51,9635367908758
SW-HS11;Agronautenweg;93121;441650;SCHIEL;Schieland;3;Oude code was HS11;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,48691287663251;51,9598322122535
SW-HS12;Alyda van Spangensingel;93241;441472;SCHIEL;Schieland;3;Oude code was HS12;M27;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;NL39_07a;Bergse Plassen;M27;;4,48869059602183;51,9582458217292
SW-HS13;Schiebroekse Park;92340;442236;SCHIEL;Schieland;3;Oude code was HS13;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,47544434427893;51,9650112371483
SW-HS14;Lindesingel;91825;442170;SCHIEL;Schieland;3;Oude code was HS14;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,46796370464092;51,9643597586531
SW-HS2;Hendrik Andriessenlaan;94498;442225;SCHIEL;Schieland;3;Oude code was HS2;-;;;;;;;;;Lansingerland;;;;;Bergschenhoek;;;;;;;;;;;;;4,50684348948303;51,9651515618704
SW-HS3;Paul Scholtensingel;91925;440544;SCHIEL;Schieland;3;Oude code was HS3;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,46971730141215;51,9497578207278
SW-HS4;Kastanjesingel;91905;441676;SCHIEL;Schieland;3;Oude code was HS4;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,46921841974711;51,9599291419034
SW-HS5;Meidoornsingel;92226;441466;SCHIEL;Schieland;3;Oude code was HS5;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,47392655608691;51,958078169286
SW-HS6;Dresdenweg;94205;442543;SCHIEL;Schieland;3;Oude code was HS6;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,50252422208394;51,9679775472468
SW-HS7;Achillesstraat;93185;442192;SCHIEL;Schieland;3;Oude code was HS7;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,48774630979334;51,964710451461
SW-HS8;Burgemeester F.H. van Kempensingel;94158;441473;SCHIEL;Schieland;3;Oude code was HS8;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,50203002992322;51,9583559632048
SW-HS9;Beethovensingel;94403;441725;SCHIEL;Schieland;3;Oude code was HS9;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,50554957980462;51,9606475421123
SW-HW01;Aan de zuidzijde van de watergang in de hoek van C;98467;441063;SCHIEL;Schieland;3;Oude code was HW01;-;;;;;;;;;Capelle aan den Ijssel;;;;;Capelle aan den IJssel;;;;;;;;;;;;;4,56478153251386;51,9551261723185
SW-HW02;In de zuidhoek van de watergang ten NO van de krui;98316;441293;SCHIEL;Schieland;3;Oude code was HW02;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,5625470882056;51,9571779055669
SW-KC1;Kralingse bos;94455;439482;SCHIEL;Schieland;3;Oude code was KC1;M14;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;NL39_08a;Kralingse Plas;M14;;4,50670145859406;51,940494582316
SW-KC2;Kralingse bos, tegenover kinderboe;94185;439275;SCHIEL;Schieland;3;Oude code was KC2;M14;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;NL39_08a;Kralingse Plas;M14;;4,50281194687505;51,9386047323735
SW-KC3;Meindert Hobbermalaan 1;95995;437182;SCHIEL;Schieland;3;Oude code was KC3;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,52948984544333;51,9199890803644
SW-KC4;Meindert Hobbermalaan 2;96031;437277;SCHIEL;Schieland;3;Oude code was KC4;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,52999681007789;51,9208467035848
SW-KC5;Burgemeester Oudlaan;95694;437209;SCHIEL;Schieland;3;Oude code was KC5;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,52511024414499;51,920199735051
SW-KC6;Nesserdijk;95710;436015;SCHIEL;Schieland;3;Oude code was KC6;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,52554853592299;51,909470447083
SW-KC7;Snelfilterweg;95511;435921;SCHIEL;Schieland;3;Oude code was KC7;-;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;;;;;4,52267305438507;51,9086043911248
SW-KC8;1ste Jerichostraat;94658;438225;SCHIEL;Schieland;3;Oude code was KC8;M14;;;;;;;;;Rotterdam;;;;;Rotterdam;;;;;;;;;NL39_08a;Kralingse Plas;M14;;4,50987400171188;51,929219518052
SW-KRADLEK1;Tiendweg/Mercurius;103384;434612;KRIWA;Krimpenerwaard;3;Oude code was KRADLEK1;-;;;;;;;;;Krimpenerwaard;;;;;Krimpen aan de Lek;;;;;;;;;;;;;4,63727433805331;51,8976254657411
SW-KRADLEK2;Kakebeen;103123;438815;KRIWA;Krimpenerwaard;3;Oude code was KRADLEK2;-;;;;;;;;;Krimpenerwaard;;;;;Ouderkerk aan den IJssel;;;;;;;;;;;;;4,63284888319929;51,9353761841591
SW-KRADLEK3;Poolcirkel;102678;434891;KRIWA;Krimpenerwaard;3;Oude code was KRADLEK3;-;;;;;;;;;Krimpenerwaard;;;;;Krimpen aan de Lek;;;;;;;;;;;;;4,62697534060119;51,9000671094704
SW-KRADLEK4;Wilgenpad;102816;434372;KRIWA;Krimpenerwaard;3;Oude code was KRADLEK4;-;;;;;;;;;Krimpenerwaard;;;;;Krimpen aan de Lek;;;;;;;;;;;;;4,62905892165695;51,8954154789675
SW-KRADLEK5;Wilgenpad (bij IJsclub);102797;434410;KRIWA;Krimpenerwaard;3;Oude code was KRADLEK5;-;;;;;;;;;Krimpenerwaard;;;;;Krimpen aan de Lek;;;;;;;;;;;;;4,62877714823734;51,8957552280814
SW-KRADLEK6;Schuwacht;103666;434455;KRIWA;Krimpenerwaard;3;Oude code was KRADLEK6;-;;;;;;;;;Krimpenerwaard;;;;;Krimpen aan de Lek;;;;;;;;;;;;;4,64139458042572;51,8962404779632
SW-KRADLEK7;Breekade;103504;434507;KRIWA;Krimpenerwaard;3;Oude code was KRADLEK7;-;;;;;;;;;Krimpenerwaard;;;;;Krimpen aan de Lek;;;;;;;;;;;;;4,63903337386012;51,8966928750167
SW-LEKKER1;Tiendweg oost;107042;435197;KRIWA;Krimpenerwaard;3;Oude code was LEKKER1;-;;;;;;;;;Krimpenerwaard;;;;;Lekkerkerk;;;;;;;;;;;;;4,69033600814873;51,9032104312593
SW-LEKKER2;Zwarte Sternpad;106804;435449;KRIWA;Krimpenerwaard;3;Oude code was LEKKER2;-;;;;;;;;;Krimpenerwaard;;;;;Lekkerkerk;;;;;;;;;;;;;4,68684265494141;51,9054547810204
SW-LEKKER3;Koninginneweg;106813;434778;KRIWA;Krimpenerwaard;3;Oude code was LEKKER3;-;;;;;;;;;Krimpenerwaard;;;;;Lekkerkerk;;;;;;;;;;;;;4,68706733297452;51,8994247956252
SW-LEKKER4;Nicolaas Beetshof;106266;434333;KRIWA;Krimpenerwaard;3;Oude code was LEKKER4;-;;;;;;;;;Krimpenerwaard;;;;;Lekkerkerk;;;;;;;;;;;;;4,67918321423051;51,8953776423122
SW-LEKKER5;Thorbeckstraat/Tiendweg west;106391;435117;KRIWA;Krimpenerwaard;3;Oude code was LEKKER5;-;;;;;;;;;Krimpenerwaard;;;;;Lekkerkerk;;;;;;;;;;;;;4,68088845374954;51,9024349436177
SW-LEKKER6;Fortpad;106816;434472;KRIWA;Krimpenerwaard;3;Oude code was LEKKER6;-;;;;;;;;;Krimpenerwaard;;;;;Lekkerkerk;;;;;;;;;;;;;4,68715372973942;51,8966748092626
SW-LEKKER7;Reinier Bloklaan;105969;443442;KRIWA;Krimpenerwaard;3;Oude code was LEKKER7;-;;;;;;;;;Krimpenerwaard;;;;;Gouderak;;;;;;;;;;;;;4,67356928599894;51,9772202078379
SW-LEKKER8;Jan Ligthartstraat/Korte dreef;106141;444504;KRIWA;Krimpenerwaard;3;Oude code was LEKKER8;-;;;;;;;;;Krimpenerwaard;;;;;Gouderak;;;;;;;;;;;;;4,67592120448108;51,9867802069104
SW-M1;Bredeweg;99715;450581;SCHIEL;Schieland;3;Oude code was M1;-;;;;;;;;;Zuidplas;;;;;Moerkapelle;;;;;;;;;;;;;4,58139947565188;52,0407940859004
